Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
200	-401.845	-410.433	8.58851	1.668367	1.81174	2.037043	12.00099	0.0611419	0.0365092	0.0750911	0.0313417	0.00964473	0.083853	0.0479489	0.0129846	0.0126633	0.126481	0.120853	0.0201955	0.0105209	0.025812	0.0269295	0.0787466	0.117159	0.27123	0.325321	0.0457929	0.221488	0.0264627	0.0922216	0.175965	0.147585	0.102757	0.0187468	0.0270525	0.0157303	0.00731436	0.0463969	0.00909753	0.0120401	0.23605	0.409533	0.548047	0.729329	0.431793	0.0657499	0.270176	0.23228	0.250199	0.614376	1.05895	2.07647	2.443078
210	-397.014	-410.255	13.2415	0.6944426	1.312454	1.078181	14.33027	0.0254362	0.0177858	0.0297745	0.0635746	0.00970112	0.0328131	0.0200811	0.00461823	0.0159025	0.157645	0.0835996	0.0316752	0.00459092	0.0155648	0.0615114	0.0536914	0.196496	0.229203	0.236792	0.0877206	0.186257	0.0210144	0.0475766	0.217642	0.0679385	0.0494312	0.0278439	0.0735874	0.047798	0.0296933	0.103611	0.00279236	0.0136083	0.244489	0.449643	0.610963	0.80162	0.461939	0.108125	0.192604	0.237332	0.0730016	0.360896	0.922791	2.64331	2.266971
220	-394.307	-408.061	13.7546	0.7722436	2.412979	3.004839	19.61933	0.00427764	0.00392917	0.0578217	0.100981	0.0266807	0.0259043	0.0210429	0.00255499	0.0364007	0.0986884	0.0294633	0.0734895	0.0146886	0.0102835	0.0156551	0.0541677	0.0886351	0.24986	0.178394	0.0246828	0.23949	0.0402633	0.03158	0.241904	0.0518402	0.0329184	0.019345	0.0117987	0.0167358	0.024425	0.0933633	0.00863975	0.0159827	0.24195	0.396029	0.517851	0.684591	0.148729	0.124524	0.293964	0.432782	0.0896403	0.395714	0.948957	2.56569	1.945888
230	-396.651	-405.186	8.53431	0.7354957	1.242121	4.135091	17.97854	0.00832647	0.0108706	0.0562395	0.0775851	0.0535176	0.0299779	0.0249764	0.0022434	0.028367	0.0392962	0.0403827	0.0542217	0.0409475	0.00224518	0.0168715	0.101701	0.073163	0.265348	0.297786	0.0284518	0.122946	0.0989544	0.0611293	0.240789	0.131753	0.145497	0.0260485	0.00959644	0.0558313	0.0126343	0.0656859	0.0131676	0.0395368	0.11707	0.2332	0.343643	0.521788	0.126828	0.063676	0.250676	0.55882	0.0817806	0.379807	0.937344	2.60107	2.276088
240	-393.271	-399.954	6.68314	1.379117	0.7858666	2.031566	13.31664	0.0126653	0.0121586	0.0382772	0.095904	0.0978185	0.00954323	0.0350715	0.00304889	0.0342418	0.091863	0.0403101	0.0327238	0.0459778	0.00226974	0.0207326	0.0818566	0.070947	0.375844	0.436861	0.023961	0.0909875	0.0519043	0.0679316	0.234991	0.183748	0.210871	0.0479678	0.00527436	0.0769786	0.0425801	0.0401455	0.0118311	0.0546983	0.129187	0.281579	0.428099	0.643973	0.108963	0.0741103	0.27142	0.545507	0.20603	0.567115	1.04246	2.1844	2.681985
250	-408.977	-406.172	-2.80494	0.7210393	0.958147	3.456598	10.61583	0.0370776	0.071792	0.0600833	0.0232214	0.161722	0.0140145	0.0326996	0.00364357	0.0237695	0.263077	0.0943484	0.021413	0.119122	0.00271479	0.095629	0.0369142	0.0751647	0.536738	0.630902	0.0059247	0.119293	0.0639669	0.0801766	0.186489	0.164574	0.371285	0.0512065	0.00183855	0.0304357	0.0299021	0.0432052	0.0225525	0.0409836	0.107658	0.228202	0.346836	0.538333	0.0828173	0.0563278	0.206293	0.654562	0.0786867	0.37329	0.932422	2.6156	3.51588
260	-402.07	-403.468	1.39734	2.93462	0.746648	2.709473	10.82066	0.0546878	0.130491	0.121053	0.029187	0.0971158	0.0173416	0.0164586	0.00431644	0.0220458	0.189796	0.0641365	0.0152183	0.0672215	0.00363971	0.0344875	0.0430164	0.0566278	0.554837	0.279419	0.0055272	0.157183	0.0618413	0.080717	0.109181	0.156853	0.303634	0.112794	0.00323597	0.0685933	0.0181201	0.0503898	0.0392071	0.0311153	0.105186	0.235313	0.366269	0.573738	0.120833	0.182974	0.144307	0.551885	0.38414	0.727843	1.08217	1.80584	2.999488
270	-420.855	-420.907	0.0524868	3.140185	0.7956556	1.550084	9.560367	0.0214259	0.168162	0.109024	0.113348	0.0597677	0.0383967	0.0775526	0.0221444	0.0167954	0.277065	0.161889	0.10254	0.0309994	0.00371876	0.0657949	0.0796664	0.0734808	0.626027	0.236987	0.00256613	0.210472	0.049215	0.0135415	0.249838	0.0354523	0.177766	0.0328318	0.00387512	0.0591265	0.00906669	0.0234149	0.0408089	0.0363768	0.150033	0.321813	0.480823	0.700128	0.266576	0.216946	0.102851	0.413627	0.399824	0.739006	1.08313	1.77804	3.229138
280	-412.892	-412.974	0.081399	2.25837	1.328684	1.911265	9.536106	0.085292	0.0854767	0.0669047	0.0272385	0.100005	0.0276128	0.0504429	0.0152749	0.00800943	0.461257	0.086019	0.100683	0.00569052	0.00673233	0.0455282	0.0388632	0.0872123	0.275174	0.44876	0.00154219	0.188265	0.0318352	0.0359379	0.57039	0.0433613	0.106645	0.0255882	0.00297074	0.0193938	0.00293299	0.0216009	0.0418991	0.110199	0.193699	0.365225	0.511006	0.707708	0.242846	0.176829	0.0797599	0.500565	0.322282	0.679948	1.07529	1.92248	3.224737
290	-419.046	-418.324	-0.722321	1.446117	1.597774	1.776972	10.57348	0.0405747	0.182053	0.213116	0.017804	0.0816574	0.0755921	0.0342854	0.0570452	0.0167289	0.24333	0.0451963	0.0236526	0.0110468	0.0109961	0.108421	0.0385985	0.0375286	0.461661	0.433761	0.006308	0.185488	0.0603118	0.1141	0.460325	0.0291309	0.0711227	0.0167623	0.0020839	0.0615025	0.00441928	0.0171018	0.0481292	0.141271	0.229248	0.40903	0.553949	0.741092	0.284522	0.313167	0.121453	0.280858	0.216877	0.579335	1.04709	2.15669	3.351105
300	-419.57	-416.35	-3.21924	1.549255	2.010641	1.276043	9.950895	0.0168135	0.117195	0.0469157	0.0460143	0.127706	0.0243406	0.0424533	0.0832906	0.00666524	0.384074	0.132661	0.142156	0.0894095	0.00968837	0.0351094	0.0606603	0.0154933	0.297601	0.375404	0.0022744	0.510603	0.0573964	0.0740393	0.376918	0.162176	0.152711	0.0143157	0.00885277	0.0150681	0.0126488	0.0177093	0.0110887	0.151986	0.306729	0.505065	0.64947	0.816641	0.333157	0.240115	0.136857	0.289871	0.232832	0.596555	1.05319	2.11743	3.621438
310	-406.863	-410.192	3.32936	1.266599	1.793341	1.613898	8.983401	0.0119757	0.0711776	0.0602031	0.0420708	0.08293	0.0151052	0.0217681	0.0677339	0.0111298	0.199376	0.0559543	0.0204557	0.15578	0.00901464	0.0787892	0.129175	0.0178633	0.182456	0.459691	0.00624335	0.242417	0.0994307	0.0882638	0.250566	0.0504016	0.0468748	0.0339024	0.0199865	0.017489	0.0133105	0.055977	0.0140809	0.31475	0.259514	0.446186	0.590642	0.77003	0.475344	0.231228	0.0958301	0.197598	0.186915	0.544457	1.03317	2.23546	2.946342
